sentence,gold_pos,gold_dependencies
This design looks mediocre.,"[('This', 'PRP'), ('design', 'NN'), ('looks', 'PRP'), ('mediocre.', 'RB')]","[('looks', 'looks', 'root'), ('This', 'design', 'root'), ('mediocre.', 'design', 'nsubj'), ('looks', 'mediocre.', 'obj')]"
The product seems great.,"[('The', 'RB'), ('product', 'JJ'), ('seems', 'PRP'), ('great.', 'JJ')]","[('great.', 'The', 'obj'), ('The', 'product', 'nsubj'), ('product', 'product', 'obj'), ('great.', 'great.', 'nsubj')]"
The product looks boring.,"[('The', 'DT'), ('product', 'NN'), ('looks', 'NN'), ('boring.', 'VB')]","[('boring.', 'product', 'obj'), ('product', 'looks', 'obj'), ('product', 'product', 'root'), ('looks', 'product', 'root')]"
This service seems fantastic.,"[('This', 'VB'), ('service', 'NN'), ('seems', 'RB'), ('fantastic.', 'PRP')]","[('service', 'This', 'nsubj'), ('fantastic.', 'This', 'root'), ('seems', 'seems', 'nsubj'), ('service', 'This', 'nsubj')]"
This service is amazing.,"[('This', 'JJ'), ('service', 'PRP'), ('is', 'NN'), ('amazing.', 'VB')]","[('is', 'This', 'obj'), ('This', 'is', 'root'), ('is', 'amazing.', 'nsubj'), ('service', 'amazing.', 'root')]"
The app looks innovative.,"[('The', 'VB'), ('app', 'NN'), ('looks', 'PRP'), ('innovative.', 'VB')]","[('looks', 'The', 'root'), ('looks', 'innovative.', 'nsubj'), ('looks', 'looks', 'nsubj'), ('The', 'The', 'obj')]"
The app is innovative.,"[('The', 'DT'), ('app', 'NN'), ('is', 'NN'), ('innovative.', 'NN')]","[('innovative.', 'innovative.', 'root'), ('is', 'innovative.', 'nsubj'), ('innovative.', 'app', 'nsubj'), ('The', 'is', 'root')]"
This design was amazing.,"[('This', 'DT'), ('design', 'RB'), ('was', 'PRP'), ('amazing.', 'VB')]","[('design', 'design', 'obj'), ('This', 'was', 'obj'), ('This', 'was', 'root'), ('This', 'was', 'root')]"
The movie was boring.,"[('The', 'PRP'), ('movie', 'PRP'), ('was', 'RB'), ('boring.', 'JJ')]","[('The', 'boring.', 'nsubj'), ('movie', 'The', 'root'), ('The', 'boring.', 'nsubj'), ('movie', 'movie', 'root')]"
This service was awful.,"[('This', 'JJ'), ('service', 'PRP'), ('was', 'VB'), ('awful.', 'NN')]","[('awful.', 'This', 'root'), ('awful.', 'awful.', 'root'), ('This', 'This', 'root'), ('This', 'This', 'obj')]"
The app looks boring.,"[('The', 'NN'), ('app', 'JJ'), ('looks', 'DT'), ('boring.', 'NN')]","[('The', 'boring.', 'root'), ('app', 'looks', 'nsubj'), ('The', 'app', 'nsubj'), ('boring.', 'The', 'obj')]"
This design was awful.,"[('This', 'PRP'), ('design', 'RB'), ('was', 'DT'), ('awful.', 'RB')]","[('was', 'This', 'obj'), ('awful.', 'awful.', 'obj'), ('awful.', 'awful.', 'obj'), ('awful.', 'This', 'obj')]"
This design was amazing.,"[('This', 'DT'), ('design', 'DT'), ('was', 'JJ'), ('amazing.', 'RB')]","[('This', 'was', 'obj'), ('amazing.', 'amazing.', 'root'), ('was', 'design', 'obj'), ('amazing.', 'was', 'root')]"
This service is great.,"[('This', 'RB'), ('service', 'NN'), ('is', 'VB'), ('great.', 'PRP')]","[('great.', 'This', 'obj'), ('great.', 'is', 'obj'), ('great.', 'This', 'nsubj'), ('service', 'service', 'nsubj')]"
This design feels boring.,"[('This', 'DT'), ('design', 'RB'), ('feels', 'NN'), ('boring.', 'PRP')]","[('feels', 'This', 'nsubj'), ('design', 'feels', 'nsubj'), ('boring.', 'boring.', 'root'), ('This', 'boring.', 'nsubj')]"
This service seems innovative.,"[('This', 'PRP'), ('service', 'JJ'), ('seems', 'NN'), ('innovative.', 'NN')]","[('innovative.', 'service', 'nsubj'), ('service', 'This', 'root'), ('service', 'This', 'nsubj'), ('seems', 'service', 'obj')]"
This design was great.,"[('This', 'DT'), ('design', 'RB'), ('was', 'RB'), ('great.', 'VB')]","[('This', 'was', 'obj'), ('design', 'This', 'obj'), ('This', 'was', 'root'), ('was', 'was', 'obj')]"
This service feels boring.,"[('This', 'JJ'), ('service', 'DT'), ('feels', 'VB'), ('boring.', 'DT')]","[('boring.', 'feels', 'obj'), ('This', 'boring.', 'nsubj'), ('feels', 'boring.', 'root'), ('This', 'This', 'root')]"
The movie feels terrible.,"[('The', 'RB'), ('movie', 'NN'), ('feels', 'DT'), ('terrible.', 'VB')]","[('The', 'terrible.', 'nsubj'), ('movie', 'The', 'obj'), ('feels', 'movie', 'root'), ('terrible.', 'feels', 'nsubj')]"
This service seems fantastic.,"[('This', 'PRP'), ('service', 'NN'), ('seems', 'RB'), ('fantastic.', 'PRP')]","[('fantastic.', 'This', 'obj'), ('service', 'service', 'obj'), ('fantastic.', 'This', 'root'), ('seems', 'This', 'nsubj')]"
The product feels mediocre.,"[('The', 'PRP'), ('product', 'DT'), ('feels', 'NN'), ('mediocre.', 'DT')]","[('feels', 'product', 'nsubj'), ('mediocre.', 'The', 'obj'), ('mediocre.', 'The', 'obj'), ('product', 'The', 'obj')]"
The product looks great.,"[('The', 'RB'), ('product', 'PRP'), ('looks', 'PRP'), ('great.', 'DT')]","[('looks', 'looks', 'obj'), ('looks', 'product', 'root'), ('great.', 'looks', 'nsubj'), ('great.', 'great.', 'root')]"
The app seems innovative.,"[('The', 'VB'), ('app', 'RB'), ('seems', 'JJ'), ('innovative.', 'NN')]","[('app', 'seems', 'nsubj'), ('seems', 'app', 'nsubj'), ('seems', 'seems', 'obj'), ('innovative.', 'app', 'obj')]"
The experience seems great.,"[('The', 'NN'), ('experience', 'RB'), ('seems', 'JJ'), ('great.', 'DT')]","[('experience', 'experience', 'obj'), ('great.', 'great.', 'nsubj'), ('great.', 'great.', 'obj'), ('seems', 'The', 'root')]"
The app feels amazing.,"[('The', 'RB'), ('app', 'PRP'), ('feels', 'PRP'), ('amazing.', 'JJ')]","[('app', 'app', 'obj'), ('app', 'amazing.', 'obj'), ('app', 'amazing.', 'root'), ('feels', 'app', 'nsubj')]"
The movie is fantastic.,"[('The', 'DT'), ('movie', 'NN'), ('is', 'VB'), ('fantastic.', 'PRP')]","[('is', 'fantastic.', 'nsubj'), ('The', 'movie', 'nsubj'), ('is', 'The', 'nsubj'), ('fantastic.', 'is', 'root')]"
The movie is terrible.,"[('The', 'RB'), ('movie', 'JJ'), ('is', 'JJ'), ('terrible.', 'RB')]","[('terrible.', 'terrible.', 'root'), ('movie', 'The', 'nsubj'), ('is', 'terrible.', 'root'), ('is', 'is', 'root')]"
This design seems awful.,"[('This', 'RB'), ('design', 'PRP'), ('seems', 'VB'), ('awful.', 'JJ')]","[('design', 'seems', 'nsubj'), ('awful.', 'This', 'obj'), ('seems', 'design', 'root'), ('seems', 'This', 'obj')]"
The product looks mediocre.,"[('The', 'DT'), ('product', 'PRP'), ('looks', 'RB'), ('mediocre.', 'PRP')]","[('mediocre.', 'product', 'root'), ('product', 'The', 'nsubj'), ('looks', 'product', 'nsubj'), ('The', 'product', 'root')]"
This service feels boring.,"[('This', 'NN'), ('service', 'JJ'), ('feels', 'DT'), ('boring.', 'VB')]","[('service', 'service', 'root'), ('service', 'This', 'obj'), ('service', 'This', 'obj'), ('feels', 'service', 'obj')]"
The app seems fantastic.,"[('The', 'PRP'), ('app', 'PRP'), ('seems', 'NN'), ('fantastic.', 'PRP')]","[('seems', 'The', 'root'), ('The', 'app', 'nsubj'), ('fantastic.', 'seems', 'nsubj'), ('fantastic.', 'seems', 'obj')]"
The app was boring.,"[('The', 'DT'), ('app', 'VB'), ('was', 'VB'), ('boring.', 'JJ')]","[('was', 'app', 'root'), ('boring.', 'The', 'root'), ('The', 'was', 'nsubj'), ('boring.', 'app', 'nsubj')]"
The product looks amazing.,"[('The', 'JJ'), ('product', 'NN'), ('looks', 'RB'), ('amazing.', 'DT')]","[('product', 'amazing.', 'nsubj'), ('looks', 'The', 'obj'), ('The', 'product', 'nsubj'), ('looks', 'The', 'root')]"
The app seems boring.,"[('The', 'VB'), ('app', 'PRP'), ('seems', 'JJ'), ('boring.', 'VB')]","[('boring.', 'app', 'nsubj'), ('app', 'seems', 'obj'), ('The', 'The', 'nsubj'), ('app', 'seems', 'root')]"
This service is boring.,"[('This', 'PRP'), ('service', 'DT'), ('is', 'NN'), ('boring.', 'NN')]","[('boring.', 'service', 'nsubj'), ('boring.', 'This', 'nsubj'), ('boring.', 'is', 'root'), ('service', 'boring.', 'obj')]"
The experience seems mediocre.,"[('The', 'PRP'), ('experience', 'RB'), ('seems', 'PRP'), ('mediocre.', 'JJ')]","[('experience', 'The', 'obj'), ('seems', 'The', 'obj'), ('mediocre.', 'The', 'obj'), ('experience', 'mediocre.', 'obj')]"
The experience looks fantastic.,"[('The', 'DT'), ('experience', 'PRP'), ('looks', 'NN'), ('fantastic.', 'NN')]","[('fantastic.', 'fantastic.', 'nsubj'), ('looks', 'The', 'nsubj'), ('experience', 'looks', 'nsubj'), ('experience', 'The', 'obj')]"
The app seems boring.,"[('The', 'RB'), ('app', 'JJ'), ('seems', 'PRP'), ('boring.', 'JJ')]","[('app', 'The', 'nsubj'), ('seems', 'The', 'obj'), ('seems', 'seems', 'nsubj'), ('seems', 'The', 'root')]"
The movie feels amazing.,"[('The', 'RB'), ('movie', 'RB'), ('feels', 'RB'), ('amazing.', 'DT')]","[('movie', 'amazing.', 'obj'), ('feels', 'feels', 'nsubj'), ('The', 'feels', 'obj'), ('The', 'movie', 'nsubj')]"
This design feels awful.,"[('This', 'NN'), ('design', 'JJ'), ('feels', 'VB'), ('awful.', 'NN')]","[('awful.', 'awful.', 'root'), ('design', 'awful.', 'root'), ('This', 'design', 'root'), ('feels', 'design', 'root')]"
The movie is amazing.,"[('The', 'JJ'), ('movie', 'JJ'), ('is', 'VB'), ('amazing.', 'DT')]","[('movie', 'amazing.', 'obj'), ('movie', 'amazing.', 'nsubj'), ('amazing.', 'The', 'root'), ('movie', 'movie', 'root')]"
This service feels amazing.,"[('This', 'RB'), ('service', 'DT'), ('feels', 'DT'), ('amazing.', 'NN')]","[('amazing.', 'This', 'obj'), ('service', 'This', 'nsubj'), ('amazing.', 'amazing.', 'obj'), ('feels', 'This', 'nsubj')]"
This service is boring.,"[('This', 'PRP'), ('service', 'PRP'), ('is', 'DT'), ('boring.', 'PRP')]","[('boring.', 'service', 'root'), ('service', 'is', 'nsubj'), ('service', 'This', 'root'), ('boring.', 'This', 'root')]"
The movie was amazing.,"[('The', 'JJ'), ('movie', 'DT'), ('was', 'PRP'), ('amazing.', 'PRP')]","[('amazing.', 'movie', 'root'), ('The', 'was', 'root'), ('amazing.', 'movie', 'nsubj'), ('amazing.', 'amazing.', 'nsubj')]"
The product was boring.,"[('The', 'VB'), ('product', 'PRP'), ('was', 'VB'), ('boring.', 'RB')]","[('The', 'was', 'nsubj'), ('The', 'was', 'obj'), ('was', 'boring.', 'nsubj'), ('The', 'boring.', 'nsubj')]"
This design looks innovative.,"[('This', 'JJ'), ('design', 'NN'), ('looks', 'DT'), ('innovative.', 'RB')]","[('design', 'looks', 'nsubj'), ('innovative.', 'innovative.', 'nsubj'), ('looks', 'This', 'root'), ('innovative.', 'design', 'root')]"
This design feels boring.,"[('This', 'DT'), ('design', 'VB'), ('feels', 'JJ'), ('boring.', 'JJ')]","[('boring.', 'This', 'nsubj'), ('feels', 'feels', 'root'), ('feels', 'This', 'nsubj'), ('feels', 'This', 'nsubj')]"
The movie is awful.,"[('The', 'RB'), ('movie', 'PRP'), ('is', 'VB'), ('awful.', 'JJ')]","[('The', 'movie', 'nsubj'), ('awful.', 'movie', 'root'), ('movie', 'movie', 'obj'), ('is', 'The', 'root')]"
The movie looks boring.,"[('The', 'DT'), ('movie', 'NN'), ('looks', 'DT'), ('boring.', 'VB')]","[('looks', 'movie', 'root'), ('looks', 'movie', 'root'), ('boring.', 'The', 'obj'), ('The', 'The', 'root')]"
The movie seems amazing.,"[('The', 'NN'), ('movie', 'NN'), ('seems', 'VB'), ('amazing.', 'NN')]","[('amazing.', 'The', 'nsubj'), ('The', 'The', 'root'), ('amazing.', 'amazing.', 'nsubj'), ('movie', 'amazing.', 'root')]"
The movie feels mediocre.,"[('The', 'VB'), ('movie', 'JJ'), ('feels', 'NN'), ('mediocre.', 'PRP')]","[('The', 'movie', 'root'), ('The', 'movie', 'obj'), ('mediocre.', 'feels', 'nsubj'), ('The', 'movie', 'root')]"
The app was fantastic.,"[('The', 'NN'), ('app', 'PRP'), ('was', 'NN'), ('fantastic.', 'DT')]","[('app', 'fantastic.', 'obj'), ('fantastic.', 'fantastic.', 'obj'), ('The', 'The', 'nsubj'), ('app', 'app', 'root')]"
